,Unnamed: 0.2,Unnamed: 0.1,Epoch,accuracy,programme,libelle,id
159,159.0,159.0,40,0.5887561440467834,IMG_Reseau_Images_undersampling_BatchNormalization,undersampling max 2400 avec BatchNormalization,UNDER04
160,160.0,160.0,1,0.1419438272714615,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
161,161.0,161.0,2,0.1920491158962249,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
162,162.0,162.0,3,0.2089200019836425,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
163,163.0,163.0,4,0.2256133109331131,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
164,164.0,164.0,5,0.2353299409151077,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
165,165.0,165.0,6,0.2438541799783706,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
166,166.0,166.0,7,0.2508562207221985,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
167,167.0,167.0,8,0.2566405236721039,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
168,168.0,168.0,9,0.2644290626049042,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
169,169.0,169.0,10,0.2692493200302124,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
170,170.0,170.0,11,0.2785600125789642,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
171,171.0,171.0,12,0.2822893559932709,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
172,172.0,172.0,13,0.28612020611763,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
173,173.0,173.0,14,0.2926148474216461,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
174,174.0,174.0,15,0.2976634502410888,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
175,175.0,175.0,16,0.3031433224678039,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
176,176.0,176.0,17,0.3081918954849243,IMG_Reseau_Images_undersampling_L2,undersampling max 2400 L2=0.0001,UNDER06
